ID    VERSION           CTIME     FECHA         LINEAS    HASH
69    4.1.6-7           5.243     06/07/2017    2525      F478095A5B349B1261B1F59AA173F32B
70    4.1.6-8           5.737     06/07/2017    2525      A3B9417EFFAA27618A2EDABF8A90DD5E
71    4.1.6-9           6.085     06/07/2017    2525      EE0FC94082B369CFA057DA55597FEE94
72    4.1.6-10          5.237     06/07/2017    2525      A3EFC1E92CB83016B68A63BCFAC6D51A
73    4.1.7             5.021     06/07/2017    2525      B990B03DFDFD5E5461375ADB797D98F1
74    4.1.8             5.121     06/07/2017    2515      CDD10FB4786533F7C0ADC7046231B7BD
75    4.1.9             5.139     06/07/2017    2515      DADDAEDF09AD36429D9C45712208DF4A
76    4.2.0             5.138     06/07/2017    2515      EA3F8DBE1483ADBC091332A5AD471786
77    4.2.0-1           5.367     06/07/2017    2515      E3CF8E8E72962E10D90E6818887C933E
78    4.2.0-2           5.144     07/07/2017    2515      E297C96683E6776DEA1DF1FFD52ACDE5
79    4.2.0-3           5.266     07/07/2017    2515      007FA216D1B80B95C6F560EE11B8DDEF
80    4.2.0-4           5.042     07/07/2017    2515      AB0CF5A6EE5A5662A774F36010495491
81    4.2.0-5           6.167     07/07/2017    2515      FC65B6A4FB7061FDE007DC90E2687BF6
82    4.2.1             5.547     07/07/2017    2583      D503904FA28E10E311A7AD4E747385A0
83    4.2.1-1           5.447     07/07/2017    2583      7D851195070200C1ECDE9BBD814259A8
84    4.2.1-2           6.092     07/07/2017    2583      9FEEEE8802EEEFA70DF126D06592F810
85    4.2.1-3           5.371     07/07/2017    2587      3A3FB9212BE4FE209D0C519440003384
86    4.2.2             5.713     09/07/2017    2585      3CA83789BDBFDDEDD663029253B87CFB
87    4.2.3             6.025     09/07/2017    2585      1AA932D2A73D0B2C68E434A949CFF5AF
88    4.2.4             5.796     09/07/2017    2614      11BEB87FBD5D7B4BC0F1ABAED0D20DD2
89    4.2.5             6.003     09/07/2017    2614      8B1A6F377BA2DA18B979D89F1CD18BE3
90    4.2.5-1           5.747     09/07/2017    2614      6CF44BF712361FE4FCB9F7379E286F32
91    4.2.5-2           5.993     09/07/2017    2614      FAB7EDD686F328C09F6ABE61B9EE0901
92    4.2.5-3           6.115     09/07/2017    2614      C7217CB45740B6BD14365DEC28A3A48B
93    4.2.6             5.985     09/07/2017    2614      F3E906B6A16D91C4F0C5C74E25116B42
94    4.2.7             6.179     09/07/2017    2615      FC6B47EA2D372CBCA763809CB5F35E5D
95    4.2.7-1           5.796     09/07/2017    2615      6CC0BE369E23588566C56F922A7FF0C1
96    4.2.7-2           6.172     09/07/2017    2614      28A3170895E4F6C72C8D2FDD820CC501
97    4.2.7-3           5.803     09/07/2017    2614      76A87C0BD5955C99D75362547E25D512
98    4.2.8             5.120     10/07/2017    2622      402E7954AB6C971A4826765C0B332A62
99    4.2.8-1           5.203     10/07/2017    2622      02AA0875346F9F2FFE82AF2A9A7C9781
